name,team,school,address,latitude,longitude
"McDermott, Doug",Indiana Pacers,Creighton University,2500 California Plaza Omaha NE 68178,41.2655878,-41.2655878
"Korver, Kyle",Milwaukee Bucks,Creighton University,2500 California Plaza Omaha NE 68178,41.2655878,-41.2655878
"Tolliver, Anthony",Memphis Grizzlies,Creighton University,2500 California Plaza Omaha NE 68178,41.2655878,-41.2655878
"Curry, Stephen (C)",Golden State Warriors,Davidson College,102 N. Main Street Davidson NC 28035,35.499519,-35.499519
"Antetokounmpo, Kostas (TW)",Los Angeles Lakers,University of Dayton,300 College Park Dayton OH 45469,39.7394599,-39.7394599
"Chandler, Wilson  (FA)",Brooklyn Nets,DePaul University,1 E Jackson Blvd Chicago IL 60604,41.8781342,-41.8781342
"Strus, Max  (TW)",Chicago Bulls,DePaul University,1 E Jackson Blvd Chicago IL 60604,41.8781342,-41.8781342
"Tatum, Jayson",Boston Celtics,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-36.0014258
"Irving, Kyrie ",Brooklyn Nets,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-36.0014258
"Thomas, Lance (FA)",Brooklyn Nets,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-36.0014258
"Barrett, RJ",New York Knicks,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-36.0014258
"Carter, Wendell",Chicago Bulls,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-36.0014258
"Kennard, Luke ",Detroit Pistons,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-36.0014258
"Reddish, Cam",Atlanta Hawks,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-36.0014258
"Plumlee, Mason (FA)",Denver Nuggets,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-36.0014258
"Hood, Rodney ",Portland Trail Blazers,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-36.0014258
"Trent, Gary",Portland Trail Blazers,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-36.0014258
"Cook, Quinn",Los Angeles Lakers,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-36.0014258
"Bagley, Marvin",Sacramento Kings,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-36.0014258
"Giles, Harry",Sacramento Kings,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-36.0014258
"Parker, Jabari",Sacramento Kings,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-36.0014258
"Curry, Seth",Dallas Mavericks,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-36.0014258
"Rivers, Austin",Houston Rockets,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-36.0014258
"Allen, Grayson",Memphis Grizzlies,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-36.0014258
"Jones, Tyus",Memphis Grizzlies,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-36.0014258
