State,count
TX,132
FL,131
CA,108
AL,89
OH,78
PA,67
NC,65
MI,65
SC,63
LA,61
TN,55
WA,50
IN,50
GA,48
VA,47
MS,45
OK,44
UT,43
IA,35
KY,31
WI,28
OR,26
MA,26
IL,25
CO,22
NE,19
NY,19
ID,18
AR,18
WV,17
MO,17
MD,16
KS,16
WY,14
AZ,13
NJ,13
CT,10
MN,10
ND,7
DE,6
SD,5
NV,5
NM,3
HI,2
ME,1
MT,1
