Name,Address,Latitude,Longitude
Boston College,140 Commonwealth Avenue Chestnut Hill MA 2467,42.3355488,-71.1684945
Wheaton College,26 E Main St Norton MA 2766,41.966371,-71.1839566
Bentley University,175 Forest St Waltham MA 2452,42.3870692,-71.2205583
Lasell College,1844 Commonwealth Avenue Newton MA 2466,42.343169,-71.2443859
Brandeis University,415 South St Waltham MA 2454,42.3641909,-71.2596723
Roger Williams University,One Old Ferry Road Bristol RI 2809,41.6511285,-71.2598636
Babson College,231 Forest Street Wellesley MA 2457,42.2990302,-71.2623405
Massachusetts Bay Community College,50 Oakland St Wellesley Hills MA 2481,42.3116026,-71.2629206
Salve Regina University,100 Ochre Point Avenue Newport RI 2840,41.4728136,-71.2997299
Regis College,235 Wellesley St Weston MA 2493,42.3502881,-71.3089502
University of Massachusetts-Lowell,1 University Ave Lowell MA 1854,42.6539217,-71.3250036
Dean College,99 Main Street Franklin MA 2038,42.084841,-71.3980428
Brown University,One Prospect Street Providence RI 2912,41.8243851,-71.4049155
Johnson & Wales University-Providence,8 Abbott Park Place Providence RI 2903,41.819957,-71.412757
Framingham State University,100 State Street Framingham MA 1701,42.2981072,-71.436075
Providence College,1 Cunningham Square Providence RI 2918,41.8441035,-71.4379605
Southern New Hampshire University,2500 North River Road Manchester NH 3106,43.0413087,-71.4521994
Rhode Island College,600 Mount Pleasant Ave Providence RI 2908,41.8446451,-71.4575338
Rivier University,420 South Main St Nashua NH 30605086,42.7393913,-71.4581483
Community College of Rhode Island,400 East Ave Warwick RI 2886,41.7129353,-71.4816957
Saint Anselm College,100 Saint Anselm Drive Manchester NH 3102,42.9868322,-71.5037827
University of Rhode Island,Green Hall  35 Campus Avenue Kingston RI 2881,41.4846985,-71.5273731
NHTI-Concord's Community College,31 College Drive Concord NH 3301,43.2226424,-71.5313145
Bryant University,1150 Douglas Pike Smithfield RI 2917,41.924952,-71.532786
Plymouth State University,17 High Street Plymouth NH 3264,43.759527,-71.6881916
Fitchburg State University,160 Pearl St Fitchburg MA 1420,42.5881824,-71.7897714
Quinsigamond Community College,670 West Boylston Street Worcester MA 1606,42.3146459,-71.7936924
College of the Holy Cross,One College Street Worcester MA 1610,42.2392391,-71.8079608
Worcester Polytechnic Institute,100 Institute Road Worcester MA 1609,42.274229,-71.8106028
Becker College,61 Sever St Worcester MA 1609,42.2690259,-71.811912
New England College,98 Bridge St Henniker NH 3242,43.1798819,-71.8227956
Clark University,950 Main St Worcester MA 1610,42.2516001,-71.823404
Assumption College,500 Salisbury St Worcester MA 1609,42.2922426,-71.8291624
Worcester State University,486 Chandler St Worcester MA 1602,42.2680657,-71.8438086
Anna Maria College,50 Sunset Lane Paxton MA 1612,42.327075,-71.917944
Nichols College,Center Rd Dudley MA 1571,42.0381398,-71.9336697
Colby-Sawyer College,541 Main St New London NH 3257,43.4143404,-71.971789
Franklin Pierce University,40 University Drive Rindge NH 3461,42.7793667,-72.0560856
